id, x, y
1,-1.144730479338043,-0.4748706630010232,
3,-0.43203124399305404,3.9427757886020025,
7,2.862896648485916,3.3791129049596664,
8,1.404451214519927,1.0910753476126827,
9,3.55446282672615,1.7575725951687602,
12,-0.5926811893715054,1.415487599186418,
21,-1.857621690507333,1.7853893807405465,
39,0.3814810173017744,0.13443851385127914,

current id, accessible id, distance
start,1,1.2393183678557085,
start,12,1.5345605676171117,
start,21,2.5765041404788067,
1,39,1.6433439096768458,
1,12,2.0142791825928823,
1,21,2.435663252573037,
39,12,1.6065177574474747,
39,1,1.661658982534676,
39,21,2.804802871275191,
12,21,1.4485287662055872,
12,39,1.6182226881793227,
12,1,1.9183136190360597,
12,8,1.9345885022241618,
8,1,2.9842813334095823,
8,3,3.3918819592616374,
3,7,3.3427930930633294,
3,8,3.5256808864912714,
3,1,3.5520907425972794,
3,9,4.5461245003266475,
