id, x, y
1,-1.1838086614376209,-0.4437787797097049,
3,-1.2804265689781054,3.7280129602466645,
7,1.8183080234347673,3.8404932865213315,
8,1.0429583769713329,1.359195224251642,
9,2.7625443257303886,2.5016612069240547,
12,-0.5499628190519992,1.406736708620417,
21,-1.8097412550480692,1.8297864922975242,
39,0.37881440462226595,0.14160253722455984,

current id, accessible id, distance
start,1,1.2642557305448001,
start,12,1.5104195674446972,
start,21,2.573573783208369,
1,39,1.66867076824582,
1,12,1.9582222600902979,
1,21,2.3835603128306415,
39,12,1.6299206990111625,
39,1,1.6985189649034753,
39,21,2.823719441571067,
12,21,1.4082360914599914,
12,39,1.528541279271297,
12,8,1.7088565653797103,
12,1,2.088220324433971,
8,1,3.041808448586453,
8,3,3.31804386249324,
3,7,3.100775370454143,
3,8,3.600495296815859,
3,1,3.8241006437260303,
3,9,4.22487304878353,
