id, x, y
1, -1.274707, -0.458379
3, -1.075032, 4.12235
7, 2.074430, 4.07726
8, 1.472976, 1.227771
9, 3.267176, 2.676154
12, -0.50128, 1.538357
21, -1.897383, 2.094744
39, 0.49, 0.129601

current id, accessible id, distance
start, 1, 1.354618
start, 12, 1.617969
start, 21, 2.826308
1, 39, 1.860084
1, 12, 2.141295
1, 21, 2.627958
1, 3, 4.585079
39, 12, 1.722565
39, 1, 1.860084
39, 21, 3.092149
12, 39, 1.722565
12, 8, 1.998537
12, 1, 2.141295
8, 12, 1.998537
8, 3, 3.856285
3, 7, 3.149785
3, 8, 3.856285
3, 9, 4.576708
3, 1, 4.585079
21, 1, 2.627958
21, 39, 3.092149
21, 7, 4.439107
7, 3, 3.149785
9, 3, 4.576708






